,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
0,TWTR,Common Stock,Twitter Inc,"Twitter is an American microblogging and social networking service on which users post and interact with messages known as tweets. The service is provided by Twitter, Inc., a corporation based in San Francisco, California.",1418091,NYSE,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1355 MARKET STREET, SUITE 900, SAN FRANCISCO, CA, US",December,2021-12-31,26164949000,697310000,None,3.64,9.16,0,0,-0.28,6.37,-0.0436,0.0538,0.0124,-0.029,5077482000,3279972000,-0.28,-0.232,0.216,44.75,-,38.76,5.15,3.867,5.4,148.21,0.799,73.34,31.3,37.35,54.21,800641000,None,None
0,D,Common Stock,Dominion Energy Inc,"Dominion Energy, Inc., commonly referred to as Dominion, is an American power and energy company headquartered in Richmond, Virginia that supplies electricity in parts of Virginia, North Carolina, and South Carolina and supplies natural gas to parts of Utah, West Virginia, Ohio, Pennsylvania, North Carolina, South Carolina, and Georgia. Dominion also has generation facilities in Indiana, Illinois, Connecticut, and Rhode Island.",715957,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"120 TREDEGAR STREET, RICHMOND, VA, US",December,2021-12-31,67552130000,7195000000,23.5,2.854,31.51,2.52,0.0327,3.981,17.29,0.235,0.317,0.0283,10.47,13964000000,6808000000,3.98,0.991,0.102,86.28,20.49,19.3,4.734,2.53,7.64,15.39,0.41,84.13,69.61,79.25,76.6,810463000,2022-03-20,2022-03-03
0,VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",December,2021-12-31,223534100000,45300998000,9.67,3.538,19.48,2.535,0.0468,5.32,32.21,0.165,0.218,0.0532,29.49,133613003000,77312000000,5.32,-0.001,-0.018,60.56,10.01,9.99,1.673,2.778,3.01,8.19,0.382,57.79,49.09,53.3,54.08,4197820000,2022-05-02,2022-04-07
0,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",October,2022-01-31,109673488000,8164000000,17.29,1.986,13.46,0.96,0.0081,7.18,26.75,0.271,0.321,0.199,0.561,24171999000,10926000000,7.18,0.639,0.215,172.82,17.29,16.29,4.537,9.97,4.905,14.66,1.412,166.76,111.36,142.45,139.82,883395000,2022-03-16,2022-02-22
0,BA,Common Stock,The Boeing Company,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services.",12927,NYSE,USD,USA,MANUFACTURING,AIRCRAFT,"P O BOX 3707 MS 1F 31, SEATTLE, WA, US",December,2021-12-31,98626070000,1457000000,58.37,6.53,-9.46,0,0,-7.15,105.93,-0.0675,-0.011,-0.0029,-99999.99,62286000000,5190000000,-7.15,-0.496,-0.033,257.65,-,53.19,1.627,-,2.562,129.41,1.43,278.57,167.58,206.44,218.82,583000000,2020-03-06,2020-02-13
0,DAL,Common Stock,Delta Air Lines Inc,"Delta Air Lines, Inc., typically referred to as Delta, is one of the major airlines of the United States and a legacy carrier. It is headquartered in Atlanta, Georgia.",27904,NYSE,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","HARTSFIELD-JACKSON ATLANTA INTL AIRPORT, 1030 DELTA BOULEVARD, ATLANTA, GA, US",December,2021-12-31,19268290000,3087000000,72.69,0.197,6.1,0,0,0.414,47.01,0.0094,-0.0731,-0.0189,10.29,29899000000,2171000000,0.44,0.203,1.384,51.44,70.95,16.95,0.668,6.84,1.67,13.59,1.22,52.28,29.75,40.02,41.12,639930000,2020-03-12,2020-02-19
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,EXPE,Common Stock,Expedia Group Inc,"Expedia Group, Inc. is an American online travel shopping company for consumer and small business travel. Its websites, which are primarily travel fare aggregators and travel metasearch engines, include Expedia.com, Vrbo (previously HomeAway), Hotels.com, Hotwire.com, Orbitz, Travelocity, trivago and CarRentals.com.",1324424,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRANSPORTATION SERVICES,"1111 EXPEDIA GROUP WAY W., SEATTLE, WA, US",December,2021-12-31,25806881000,488000000,None,1.08,13.22,0,0,-1.8,57.42,0.0014,0.0305,0.0081,0.004,8598000000,7076000000,-1.8,-0.21,1.477,215.96,-,29.41,3.002,15.14,4.145,31.62,1.547,217.72,136.77,186.27,168.78,150231000,2020-03-26,2020-03-09
0,DIS,Common Stock,The Walt Disney Company,"The Walt Disney Company, commonly known as Disney, is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California.",1744489,NYSE,USD,USA,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,"500 SOUTH BUENA VISTA STREET, BURBANK, CA, US",September,2021-12-31,243054600000,10560000000,75.79,1.174,49.87,0,0,1.685,40.15,0.0422,0.0751,0.0169,3.619,72988000000,22287000000,1.683,63.36,0.343,192.13,78.28,35.09,3.286,3.03,4.274,28.91,1.175,199.05,129.26,148.5,165.86,1820630000,2020-01-16,2019-12-13
0,BYND,Common Stock,Beyond Meat Inc,"Beyond Meat, Inc., a food company, manufactures, markets, and sells plant-based meat products in the United States and internationally. The company is headquartered in El Segundo, California.",1655210,NASDAQ,USD,USA,MANUFACTURING,FOOD AND KINDRED PRODUCTS,"119 STANDARD STREET, EL SEGUNDO, CA, US",December,2021-12-31,2695590000,699000,None,40.75,2.09,0,0,-2.883,7.36,-0.392,-0.343,-0.108,-0.729,464700000,117281000,-2.883,0,-0.012,50.4,-,5000,5.8,13.62,6.65,1184.63,1.611,160.28,40.3,59.46,99.38,63455000,None,None
