,name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id,price
78,FT Cboe Vest US Equity Deep Buffer ETF - April,DAPR,1667919,33740U802,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,f8a471bb47beab60861b834600cf4613,30.58
79,FT Cboe Vest US Equity Deep Buffer ETF - August,DAUG,1667919,33740F854,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,fc7f69ed855df163cb5b1023d14eb899,33.955
81,Innovator Double Stacker 9 Buffer ETF - January,DBJA,1415726,45782C136,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,86860df39f39d0c476e4176d324f2d39,26.355
82,Innovator Double Stacker 9 Buffer ETF - October,DBOC,1415726,45782C219,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,bf0a40507f1197e47319b10e9a31198b,28.7245
85,FT Cboe Vest US Equity Deep Buffer ETF - December,DDEC,1667919,33740U406,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,d71f963219a90835562984802a626937,31.44
86,WisdomTree Dynamic Currency Hedged International SmallCap Equity Fund,DDLS,1350487,97717X271,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,848c81371808d64ae78c6da0f28e2d63,32.21
87,WisdomTree Dynamic Currency Hedged International Equity Fund,DDWM,1350487,97717X263,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,0cc963f39e6f989269f7ea1a019e78d5,29.2
88,TrueShares Structured Outcome (December) ETF,DECZ,1683471,53656F672,BATS,False,ETF,,,,,,,,USD,Wisconsin; U.S.A,7617f3ec24f3c3292536f8e3e411c08e,28.16
89,iShares Adaptive Currency Hedged MSCI EAFE ETF,DEFA,1100663,46435G656,BATS,True,ETF,,,,,,,,USD,California; U.S.A,4ba2c326a4d04e6772f6a7ec638aed56,33.4299
90,Emles Protective Allocation ETF,DEFN,1755351,291361509,BATS,True,ETF,,,,,,,,USD,Texas; U.S.A,53056e034db8b51954bb9ab46406517a,24.678
94,FT Cboe Vest US Equity Deep Buffer ETF - February,DFEB,1667919,33740F771,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,35c4b9be32566d6f03d7b2dd4546a411,35.12
95,Donoghue Forlines Tactical High Yield ETF,DFHY,1604813,89628W609,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,bae0a1c47d7622d073242eed4e9ad03c,23.765
96,Reality Shares Divcon Dividend Defender Etf,DFND,1573496,75605A504 829658400,BATS,False,ETF,,,,,,,,USD,California; U.S.A,5adfd31b6a2f3942b705d9144c7eaeaa,36.64
