,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %,t,time,daily return
451,12/21/21,57.77,15864890,0.23,0.4,0.4,61.63,14.85,57.61,57.97,57.53,7.66,2021-12-21,2021.9616438356163,0.4
452,12/22/21,58.18,12447440,0.41,0.71,0.71,62.07,15.67,57.71,58.19,57.49,8.42,2021-12-22,2021.964383561644,0.71
453,12/23/21,58.22,11027340,0.04,0.07,0.07,62.11,15.75,58.52,58.61,57.94,8.5,2021-12-23,2021.9671232876717,0.07
454,12/27/21,58.65,9862192,0.43,0.74,0.74,62.57,16.6,58.0,58.69,58.0,9.3,2021-12-27,2021.978082191781,0.74
455,12/28/21,58.88,8982271,0.23,0.39,0.39,62.81,17.06,58.4,58.94,58.3,9.73,2021-12-28,2021.9808219178085,0.39
456,12/29/21,58.95,9996046,0.07,0.12,0.12,62.89,17.2,58.95,59.1,58.66,9.86,2021-12-29,2021.983561643836,0.12
457,12/30/21,58.78,7703896,-0.17,-0.29,-0.29,62.71,16.86,59.06,59.23,58.76,9.54,2021-12-30,2021.986301369863,-0.29
458,12/31/21,59.21,10021250,0.43,0.73,0.73,63.17,17.71,58.75,59.35,58.7,10.34,2021-12-31,2021.9890410958903,0.73
459,01/03/22,59.3,20188380,0.09,0.15,0.15,63.26,17.89,58.82,59.31,58.38,10.51,2022-01-03,2022.0082191780823,0.15
460,01/04/22,60.29,26141580,0.99,1.67,1.67,64.32,19.86,59.73,60.54,59.59,12.36,2022-01-04,2022.0109589041097,1.67
461,01/05/22,60.79,22507260,0.5,0.83,0.83,64.85,20.86,60.09,61.2,60.05,13.29,2022-01-05,2022.013698630137,0.83
462,01/06/22,60.47,17902350,-0.32,-0.53,-0.53,64.51,20.22,60.47,61.12,60.44,12.69,2022-01-06,2022.0164383561644,-0.53
463,01/07/22,60.33,12307900,-0.14,-0.23,-0.23,64.36,19.94,60.28,60.72,60.06,12.43,2022-01-07,2022.019178082192,-0.23
464,01/10/22,60.43,20954350,0.1,0.17,0.17,64.47,20.14,60.55,60.82,60.18,12.62,2022-01-10,2022.027397260274,0.17
465,01/11/22,60.45,19369590,0.02,0.03,0.03,64.49,20.18,60.43,60.49,59.84,12.65,2022-01-11,2022.0301369863012,0.03
466,01/12/22,60.54,15753810,0.09,0.15,0.15,64.58,20.36,60.53,60.69,60.19,12.82,2022-01-12,2022.0328767123287,0.15
467,01/13/22,60.9,14317990,0.36,0.59,0.59,64.97,21.07,60.54,61.04,60.39,13.49,2022-01-13,2022.035616438356,0.59
468,01/14/22,61.39,19729630,0.49,0.8,0.8,65.49,22.05,60.94,61.45,60.36,14.41,2022-01-14,2022.0383561643837,0.8
469,01/18/22,60.9,21977600,-0.49,-0.8,-0.8,64.97,21.07,61.06,61.19,60.45,13.49,2022-01-18,2022.049315068493,-0.8
470,01/19/22,61.0,18654750,0.1,0.16,0.16,65.08,21.27,60.66,61.18,60.56,13.68,2022-01-19,2022.0520547945205,0.16
